Year,Attacks,Wounded,Kills
1970,651,208,163
1971,471,82,166
1972,568,318,518
1973,473,363,280
1974,581,741,485
1975,740,583,524
1976,923,693,567
1977,1319,492,327
1978,1526,1423,1360
1979,2662,2314,1718
1980,2662,2643,3888
1981,2586,2967,4407
1982,2544,3015,4617
1983,2870,3552,8755
1984,3495,4291,8655
1985,2915,4584,6587
1986,2860,5250,4394
1987,3183,5225,5870
1988,3721,6094,6747
1989,4324,5210,7684
1990,3887,5693,6417
1991,4683,7290,7627
1992,5071,8910,8701
1994,3456,6475,5933
1995,3081,13902,5620
1996,3058,10431,6712
1997,3197,8830,10746
1998,934,8030,4571
1999,1395,5179,3340
2000,1814,5370,3764
2001,1906,22396,7066
2002,1333,6090,3582
2003,1278,6814,3082
2004,1166,11631,5566
2005,2017,12637,6184
2006,2758,14636,8700
2007,3242,21811,12557
2008,4805,17380,8625
2009,4721,17685,8704
2010,4825,14803,7086
2011,5076,13004,7204
2012,8522,14146,8626
2013,12036,21035,12008
2014,16903,25197,18811
2015,14965,25699,17987
2016,13587,23541,16927
2017,10900,13786,12405
